Id,MSSubClass,LotArea,PoolArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MiscVal,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,TotRmsAbvGrd,Fireplaces,MoSold,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SalePrice
1,60,8450,0,7,5,2003,2003,0,706,0,150,856,856,854,0,1710,8,0,2,2,548,0,61,0,0,0,208500
2,20,9600,0,6,8,1976,1976,0,978,0,284,1262,1262,0,0,1262,6,1,5,2,460,298,0,0,0,0,181500
3,60,11250,0,7,5,2001,2002,0,486,0,434,920,920,866,0,1786,6,1,9,2,608,0,42,0,0,0,223500
4,70,9550,0,7,5,1915,1970,0,216,0,540,756,961,756,0,1717,7,1,2,3,642,0,35,272,0,0,140000
5,60,14260,0,8,5,2000,2000,0,655,0,490,1145,1145,1053,0,2198,9,1,12,3,836,192,84,0,0,0,250000
6,50,14115,0,5,5,1993,1995,700,732,0,64,796,796,566,0,1362,5,0,10,2,480,40,30,0,320,0,143000
7,20,10084,0,8,5,2004,2005,0,1369,0,317,1686,1694,0,0,1694,7,1,8,2,636,255,57,0,0,0,307000
8,60,10382,0,7,6,1973,1973,350,859,32,216,1107,1107,983,0,2090,7,2,11,2,484,235,204,228,0,0,200000
9,50,6120,0,7,5,1931,1950,0,0,0,952,952,1022,752,0,1774,8,2,4,2,468,90,0,205,0,0,129900
10,190,7420,0,5,6,1939,1950,0,851,0,140,991,1077,0,0,1077,5,2,1,1,205,0,4,0,0,0,118000
11,20,11200,0,5,5,1965,1965,0,906,0,134,1040,1040,0,0,1040,5,0,2,1,384,0,0,0,0,0,129500
12,60,11924,0,9,5,2005,2006,0,998,0,177,1175,1182,1142,0,2324,11,2,7,3,736,147,21,0,0,0,345000
13,20,12968,0,5,6,1962,1962,0,737,0,175,912,912,0,0,912,4,0,9,1,352,140,0,0,0,176,144000
14,20,10652,0,7,5,2006,2007,0,0,0,1494,1494,1494,0,0,1494,7,1,8,3,840,160,33,0,0,0,279500
15,20,10920,0,6,5,1960,1960,0,733,0,520,1253,1253,0,0,1253,5,1,5,1,352,0,213,176,0,0,157000
16,45,6120,0,7,8,1929,2001,0,0,0,832,832,854,0,0,854,5,0,7,2,576,48,112,0,0,0,132000
17,20,11241,0,6,7,1970,1970,700,578,0,426,1004,1004,0,0,1004,5,1,3,2,480,0,0,0,0,0,149000
18,90,10791,0,4,5,1967,1967,500,0,0,0,0,1296,0,0,1296,6,0,10,2,516,0,0,0,0,0,90000
19,20,13695,0,5,5,2004,2004,0,646,0,468,1114,1114,0,0,1114,6,0,6,2,576,0,102,0,0,0,159000
20,20,7560,0,5,6,1958,1965,0,504,0,525,1029,1339,0,0,1339,6,0,5,1,294,0,0,0,0,0,139000
21,60,14215,0,8,5,2005,2006,0,0,0,1158,1158,1158,1218,0,2376,9,1,11,3,853,240,154,0,0,0,325300
22,45,7449,0,7,7,1930,1950,0,0,0,637,637,1108,0,0,1108,6,1,6,1,280,0,0,205,0,0,139400
23,20,9742,0,8,5,2002,2002,0,0,0,1777,1777,1795,0,0,1795,7,1,9,2,534,171,159,0,0,0,230000
24,120,4224,0,5,7,1976,1976,0,840,0,200,1040,1060,0,0,1060,6,1,6,2,572,100,110,0,0,0,129900
25,20,8246,0,5,8,1968,2001,0,188,668,204,1060,1060,0,0,1060,6,1,5,1,270,406,90,0,0,0,154000
26,20,14230,0,8,5,2007,2007,0,0,0,1566,1566,1600,0,0,1600,7,1,7,3,890,0,56,0,0,0,256300
27,20,7200,0,5,7,1951,2000,0,234,486,180,900,900,0,0,900,5,0,5,2,576,222,32,0,0,0,134800
28,20,11478,0,8,5,2007,2008,0,1218,0,486,1704,1704,0,0,1704,7,1,5,3,772,0,50,0,0,0,306000
